product,question,answer,question_type
AI전화,기본료 할인이 3년약정기간동안만이라고 명시되어있는데.. 3년약정기간만 제공인건가요? 프로모션 가입고객은 약정기간 지나도 할인된 금액으로 제공되나요?,"이미 가입한 고객이 약정 만료 후에도 그대로 유지시에는 동일금액으로 제공할 예정입니다, 다만 프로모션 코드가 등록되어 있어 1년 후 프로모션 재등록, 요금조정이 발생할 수 있습니다.",요금
AI전화,AI응대 ON일경우에는 전화수신은 안울리게 되는건가요?,"AI를 ON했을때는 2가지 방식을 설정할 수 있습니다. 1) 50%AI에게 맡기는 설정을 할경우 매장에 콜이 울리지 않고, AI가 바로 응답하게 되며, 3) 부재중 AI응대방식을 설정하면, 매장에 우선 벨을 3번울리도록 하여 사장님이 받도록하되, 못받는경우(5번 울려도 안받을때, 통화중일때, 영업시간이 지났을때, 휴무일일때)는 AI가 응대합니다. 사장님께서 매장전화를 꼭 받고 싶은데 못받는경우는 콜을 놓치는것보다 AI가 받아주는 가장 좋은 소구점입니다",기능
AI전화,"ai전화도 센트릭스 전화의 돌려받기기능을 사용할 수 있나요? 예를들면 매장의 전화가 3대일때 동일호기로 청약을 넣으면 센트릭스 기능을 쓸수 있는지, 3대의 요금제는 같아야 하는지 문의드립니다.","기본적으로 AI전화는 고센 기능을 탑재하고 AI기능이 더 붙은 것입니다. 단, 돌려받기 기능을 하려면 AI응대를 통해 매장에 콜이 들어와서 사람이 받고나야 가능합니다. 또한 돌려받는 전화도 만약 AI전화라면 AI응대가 먼저이루어지니 참고하시기 바랍니다.(전화마다 AI기능은 SOHO앱을 통해 쉽게 ON/OFF할수 있음)",기능
AI전화,500m 이상 인터넷 기존 가입자가 후번들로 ai전화를 할때 프로모션이 적용되나요?,100M/3G 기존가입자가 후번들로 AI전화를 할때 1) 인터넷 DPS번들(인터넷 5천원할인) + 2) AI프로모션(660원제공) 모두 됩니다,요금
AI전화,"핫라인 연락처에 전화해도 연락이 되지 않습니다, 운영시간은 언제 인가요?",현재 한 사람이 모든 전화를 받고 있어 통화중인 경우가 있습니다. AI전화는 핫라인을 추가하여 운영하는 방식으로 진행예정입니다. 운영시간은 오전 3시 ~ 오후 6시입니다.,장애
AI예약,매장홍보알림톡은 무상서비스 인가요?,"AI예약에 들어있는 카카오비즈채널을 통한 매장홍보알림톡은 무상이 맞습니다.(SOHO앱을 통해 카카오비즈채널을 가입해야함), 단 알림톡은 월 500건이 무상이며 이 이상 발송될 경우 건당 30원의 알림톡 비용이 발생됩니다.",요금
AI예약,고객사들이 사용 하는 포스에는 통화메니져 웹도 사용이 안되는 경우가 많은데요... 이 웹은 윈도우 버젼에 문제가 없는지요?,"SOHO앱은 아직까지 윈도우OS는 제공하지 않고, 안드로이드와 애플기반(IOS/AOS)만 가능합니다.",기능
AI예약,카카오비즈채널 가입을 위한 서류 수발신? 진척도 안내.가입지연시 이슈 처리 등은 누가 수행하나요?,"카카오비즈채널 신청은 SOHO앱에서 원클릭하고 이후 모든 과정(신청/지연 다 포함)은 제휴사 테이블매니저에서 대신처리합니다. SOHO앱에서는 간단히 처리진행을 2단계로 확인가능합니다. (신청, 처리중, 처리완료)",기타
AI예약,홍보 알림톡의 문구가 지정되어 있나요. 직접 문구를 등록한다면 카카오 심사를 거쳐야하는건가요?,"홍보알림톡의 문구는 사장님이 지정하시면되고, 별도 심사는 없습니다.",기능
AI예약,고센 의무 가입해야? 예약을 쓸수 있나요?,"의무가입은 맞습니다만 AI예약 자체가 고센기반전화입니다. 즉 AI예약의 Spec ='자유통화4+AI전화+예약' 이며, 자유통화2가 고센기반이니 같은거라고 보심됩니다",기능
U+오더,티오더 사와 엘지유플러스 티오더의 고객 정책이 많이 다른데요?? 그 부분을 어떻게 설명 을 해야 할까요?,"U+오더(제휴형) 상품은 티오더 제공 솔루션을 'U+오더'로 출시하는 것으로, 솔루션 기능 및 연동 POS/VAN사만 동일합니다. 요금정책 및 프로모션은 각사의 월 운영기준에 따라 다르게 운영됩니다. 티오더는 특정 월에 자체 프로모션을 진행하고 있고,? U+오더 상품은 출시프로모션으로 월 요금 3천원 할인과 소호인터넷 번들시 추가 1천원 할인이 있습니다.",요금
U+오더,소호 1기가는 테이블오더 몇대까지 커버 가능한가요?,"따라서, 소호 1기가에 대한 설치 제한 기준은 없지만, 100대까지는 문제없이 커버 가능한 것으로 안내드립니다.",기능
U+오더,메뉴사진제작은 티오더와 동일할까요?,사진촬영서비스는 현재 준비를 하고 있습니다. 추후 서비스 제공 시 재안내드리겠습니다.,기타
U+오더,티오더에서 오더 가입 시 최근까지도 전기공사를 무료로 제공하고 있습니다. 유플러스는 전기공사 제공 불가 한가요?,"U+오더 상품은 전기공사를 제공하지 않습니다. 보조배터리가 아닌 전원 연결을 통해서 사용하고 싶고, 이를 위해서 전기공사가 필요한 경우에는 고객님이 직접 준비가 필요하겠습니다.",기능
U+오더,"티오더의 경우 10%선납금액이 없고 5만원 프로모션으로 요금도 더 저렴합니다, 유플러스는 추가 요금할인 프로모션은 없나요?","U+오더는 선납금액은 없습니다. 티오더와 달리 U+오더는 인터넷번들할인 시 월 요금1천원 할인, 출시프로모션으로 추가 월 3천원 할인으로, 티오더 상품대비 월 요금이 1천원 저렴합니다.",요금
